life_expectancy,mean_years_schooling,expected_years_schooling,gni_per_capita,hdi_score,hdi_category
67.8,8.9,15.3,8444.0,0.7093,High
66.1,7.9,11.9,2599.0,0.5929,Medium
64.3,7.5,14.4,36947.0,0.7344,High
57.9,5.9,10.6,1230.0,0.4766,Low
80.3,12.5,17.9,41181.0,0.9167,Very High
51.1,3.6,10.4,1462.0,0.429,Low
76.5,9.4,16.6,15921.0,0.8022,Very High
57.5,5.2,13.0,2620.0,0.5338,Low
67.5,5.0,12.4,2543.0,0.568,Medium
66.5,10.0,12.2,24579.0,0.7362,High
79.6,11.8,16.3,32694.0,0.879,Very High
53.0,4.8,5.3,1605.0,0.4025,Low
68.0,8.5,12.4,18774.0,0.7162,High
64.9,7.9,12.0,5747.0,0.632,Medium
55.2,3.7,9.8,2168.0,0.4628,Low
73.6,7.6,13.2,23671.0,0.7503,High
50.6,3.7,10.8,1511.0,0.4339,Low
63.2,8.9,11.2,8314.0,0.6462,Medium
57.1,6.3,9.9,2325.0,0.5092,Low
59.2,6.7,9.3,7164.0,0.5728,Medium
62.8,3.8,13.0,2768.0,0.5448,Low
74.5,9.7,17.1,21066.0,0.8144,Very High
58.6,2.5,8.4,2565.0,0.4526,Low
69.9,6.4,10.8,4480.0,0.6099,Medium
62.7,4.3,10.2,2217.0,0.5083,Low
57.9,5.2,11.4,2636.0,0.5206,Low
73.3,9.2,12.4,15417.0,0.7403,High
58.6,5.5,13.5,1423.0,0.5108,Low
64.8,4.9,13.6,4153.0,0.5937,Medium
61.1,6.4,9.5,8072.0,0.5844,Medium
54.9,4.8,7.0,1743.0,0.4342,Low
63.6,6.6,11.2,5959.0,0.6038,Medium
67.6,7.9,11.3,2872.0,0.5982,Medium
47.4,1.0,6.9,999.0,0.3208,Low
56.7,2.8,7.7,1005.0,0.3928,Low
57.8,8.7,10.6,1575.0,0.5216,Low
67.4,6.3,14.4,4334.0,0.632,Medium
83.2,12.3,20.4,98517.0,0.9833,Very High
67.2,8.3,11.2,4394.0,0.6249,Medium
50.4,2.7,5.6,1457.0,0.3592,Low
49.7,4.9,7.2,1343.0,0.4018,Low
59.6,4.9,9.7,1614.0,0.4804,Low
79.6,8.8,19.9,37522.0,0.8855,Very High
52.7,2.1,8.1,1510.0,0.3933,Low
64.7,5.0,11.4,2807.0,0.5514,Medium
68.8,5.5,13.5,13170.0,0.6761,Medium
56.3,4.3,9.4,1568.0,0.4553,Low
75.3,10.5,16.6,16058.0,0.8097,Very High
73.2,8.7,13.9,18463.0,0.7576,High
55.0,2.9,9.2,1613.0,0.4294,Low
71.0,9.7,15.6,7498.0,0.7294,High
74.3,7.4,12.3,16075.0,0.7236,High
60.8,6.8,11.4,4490.0,0.5813,Medium
54.6,2.3,9.5,761.0,0.382,Low
77.1,9.1,14.1,54959.0,0.8348,Very High
57.0,3.3,5.9,746.0,0.361,Low
58.6,6.5,8.3,6010.0,0.5474,Low
72.7,7.1,13.3,8415.0,0.6906,Medium
74.2,8.0,15.1,11589.0,0.7442,High
76.0,10.8,15.5,29980.0,0.8374,Very High
58.3,5.0,12.0,1287.0,0.4842,Low
73.7,8.7,17.0,7727.0,0.7456,High
65.9,6.4,12.7,5263.0,0.6216,Medium
61.8,8.3,11.4,6559.0,0.622,Medium
62.0,4.7,11.1,8100.0,0.5846,Medium
78.3,10.5,17.2,11368.0,0.8098,Very High
54.0,2.4,8.7,1296.0,0.403,Low
53.7,4.7,8.7,928.0,0.4118,Low
77.7,11.2,15.7,25616.0,0.8444,Very High
69.9,9.4,12.8,15697.0,0.7314,High
74.8,10.4,14.6,24802.0,0.8095,Very High
72.2,10.3,15.5,16358.0,0.7831,High
61.0,6.6,8.1,5218.0,0.5523,Medium
70.9,10.4,15.2,30151.0,0.8034,Very High
65.8,8.5,13.5,6501.0,0.6637,Medium
61.9,5.2,10.1,1721.0,0.5013,Low
63.8,4.4,13.3,4215.0,0.5802,Medium
56.9,6.5,11.0,2637.0,0.5273,Low
79.2,10.0,17.4,24372.0,0.8521,Very High
78.8,11.6,16.7,50191.0,0.8983,Very High
80.3,10.4,17.7,86485.0,0.9194,Very High
58.7,4.6,6.9,1119.0,0.4208,Low
67.2,8.7,12.3,18208.0,0.7119,High
80.2,11.4,18.3,19371.0,0.8685,Very High
57.7,2.6,8.7,2238.0,0.4469,Low
69.8,8.3,13.8,6858.0,0.6856,Medium
58.4,4.6,6.9,1582.0,0.4394,Low
61.5,8.5,14.4,13168.0,0.6845,Medium
61.1,6.2,10.6,3609.0,0.5553,Medium
64.6,6.2,8.3,3735.0,0.5472,Low
75.5,6.7,16.4,5577.0,0.7062,High
61.7,8.2,13.5,12715.0,0.6728,Medium
69.1,7.7,11.8,15328.0,0.6951,Medium
65.8,7.8,14.3,6744.0,0.6652,Medium
51.8,1.2,8.9,1631.0,0.3902,Low
67.6,8.9,12.5,6110.0,0.664,Medium
68.1,9.9,14.8,9060.0,0.7206,High
72.8,8.8,14.2,10111.0,0.7302,High
77.0,10.0,15.4,9249.0,0.7704,High
71.7,7.0,15.6,6837.0,0.6964,Medium
60.0,5.3,8.3,1881.0,0.48,Low
65.2,5.6,10.8,17029.0,0.6396,Medium
61.9,6.9,10.6,1729.0,0.5262,Low
68.2,9.5,14.9,6368.0,0.6981,Medium
66.5,8.4,13.4,8277.0,0.6777,Medium
73.4,9.0,14.8,16701.0,0.7678,High
59.8,6.8,9.4,4628.0,0.5562,Medium
68.6,6.1,14.0,5061.0,0.6412,Medium
59.7,4.8,9.0,2260.0,0.4902,Low
79.1,11.3,16.6,90291.0,0.9136,Very High
76.6,10.5,17.4,18022.0,0.8293,Very High
51.1,3.3,7.5,925.0,0.3718,Low
59.1,3.8,8.5,2477.0,0.4737,Low
53.5,2.6,9.5,2124.0,0.4368,Low
50.7,0.5,8.0,532.0,0.3062,Low
75.2,11.0,14.8,11594.0,0.78,High
66.6,6.7,15.8,37813.0,0.752,High
72.7,8.1,15.1,12040.0,0.7401,High
68.5,9.9,12.9,19666.0,0.7424,High
68.8,7.6,10.4,10317.0,0.6586,Medium
80.5,12.3,17.7,28967.0,0.8954,Very High
61.4,7.0,12.2,5407.0,0.6035,Medium
58.7,3.6,9.9,2409.0,0.4831,Low
71.2,6.9,13.7,12939.0,0.7072,High
66.2,6.0,11.6,4762.0,0.6005,Medium
54.0,1.4,6.0,395.0,0.2848,Low
59.8,6.0,5.6,2205.0,0.467,Low
76.8,9.0,12.8,13875.0,0.7537,High
80.5,10.8,21.0,26830.0,0.9054,Very High
62.7,5.9,12.7,4921.0,0.5967,Medium
55.3,4.8,7.9,2086.0,0.4551,Low
77.6,10.1,14.7,29058.0,0.8277,Very High
60.1,4.3,9.2,788.0,0.4249,Low
48.1,4.2,8.5,339.0,0.311,Low
68.4,9.6,17.5,9469.0,0.7446,High
63.6,7.8,13.0,19072.0,0.6916,Medium
68.9,7.2,13.3,5251.0,0.6496,Medium
70.1,8.8,16.0,17056.0,0.7617,High
73.7,8.9,13.7,29748.0,0.7837,High
64.5,7.4,13.6,10330.0,0.6691,Medium
62.5,6.6,11.4,6458.0,0.6039,Medium
54.5,2.4,10.0,1427.0,0.4237,Low
49.6,1.7,3.6,1305.0,0.3022,Low
70.5,8.5,13.2,21383.0,0.7422,High
68.1,8.7,10.9,8822.0,0.6668,Medium
52.9,3.6,10.4,1950.0,0.453,Low
48.6,1.0,5.9,1151.0,0.3174,Low
66.4,7.1,9.1,1987.0,0.5407,Low
74.2,9.1,11.9,24087.0,0.7592,High
63.4,6.7,14.7,7667.0,0.6521,Medium
56.7,2.2,7.3,1395.0,0.396,Low
57.4,4.9,10.2,5861.0,0.5407,Low
54.2,4.2,11.2,2901.0,0.4941,Low
50.6,4.6,7.8,408.0,0.3328,Low
85.5,10.4,16.8,26329.0,0.8815,Very High
56.1,5.9,8.2,3552.0,0.5037,Low
71.4,7.8,16.4,9000.0,0.7268,High
60.9,5.8,9.9,5402.0,0.5614,Medium
70.5,10.5,14.8,11973.0,0.7538,High
76.1,9.4,11.0,29014.0,0.7709,High
65.8,6.8,14.4,4784.0,0.636,Medium
74.3,10.2,11.4,8226.0,0.7154,High
71.2,9.3,13.4,20278.0,0.7554,High
74.8,9.6,17.0,13618.0,0.7916,High
58.2,2.3,4.6,640.0,0.322,Low
54.8,4.5,8.5,2026.0,0.4541,Low
86.4,11.7,18.0,26476.0,0.9082,Very High
47.1,2.6,6.3,1382.0,0.3506,Low
57.0,4.5,9.5,1926.0,0.4715,Low
64.3,9.4,13.3,5562.0,0.6557,Medium
67.9,7.6,11.5,17114.0,0.6905,Medium
72.1,9.9,15.7,36945.0,0.819,Very High
75.0,9.9,14.2,12417.0,0.7638,High
82.0,10.2,16.0,78305.0,0.9088,Very High
55.7,4.5,12.2,5707.0,0.5474,Low
44.9,1.2,7.8,635.0,0.3014,Low
72.1,10.1,18.6,38758.0,0.8507,Very High
61.5,6.5,11.0,6013.0,0.5918,Medium
53.7,6.4,11.4,899.0,0.4495,Low
75.8,8.7,15.1,31634.0,0.8091,Very High
62.4,3.2,8.8,1461.0,0.4538,Low
57.4,4.8,8.8,1495.0,0.4559,Low
69.0,7.7,12.0,7728.0,0.6644,Medium
72.4,8.9,14.6,15448.0,0.756,High
61.0,6.4,12.3,2445.0,0.5526,Medium
70.7,8.9,16.6,27658.0,0.794,High
55.6,3.0,10.8,1171.0,0.434,Low
79.2,10.7,12.9,35661.0,0.8332,Very High
78.5,10.9,14.6,49983.0,0.8662,Very High
69.5,8.6,9.3,4978.0,0.6252,Medium
66.5,6.8,12.2,18115.0,0.6828,Medium
57.4,5.5,7.6,1776.0,0.4625,Low
86.3,11.8,17.4,52804.0,0.9399,Very High
56.3,5.6,8.0,1790.0,0.4635,Low
64.6,6.2,11.4,2354.0,0.5563,Medium
72.7,10.2,16.0,15961.0,0.787,High
59.6,5.3,8.0,817.0,0.4255,Low
64.4,8.1,12.6,6358.0,0.6426,Medium
51.5,7.3,7.7,539.0,0.3829,Low
72.7,9.7,16.0,8227.0,0.7463,High
71.9,11.4,16.0,36696.0,0.8373,Very High
55.6,5.3,7.8,2961.0,0.4793,Low
46.5,3.1,7.1,427.0,0.2993,Low
42.2,1.3,3.0,647.0,0.2312,Low
58.0,5.2,11.3,1834.0,0.5009,Low
64.2,7.9,13.1,4051.0,0.6205,Medium
84.5,13.2,16.1,41980.0,0.9298,Very High
63.9,6.0,11.3,5589.0,0.5949,Medium
71.3,5.4,11.3,6949.0,0.6294,Medium
71.0,11.4,13.2,19127.0,0.775,High
71.3,7.1,10.7,15448.0,0.685,Medium
63.5,3.6,8.2,5818.0,0.5222,Low
59.0,2.8,5.6,1619.0,0.3969,Low
71.9,11.9,14.7,15762.0,0.7891,High
68.4,10.4,14.6,22750.0,0.7713,High
45.9,2.1,9.3,887.0,0.3503,Low
72.7,6.8,14.2,10319.0,0.7066,High
58.5,5.4,8.9,4116.0,0.5221,Low
73.6,11.6,15.8,42825.0,0.8548,Very High
51.1,3.5,10.0,1463.0,0.4249,Low
74.5,8.8,14.5,9831.0,0.7393,High
79.1,12.9,17.6,36304.0,0.9064,Very High
54.3,5.5,9.4,2218.0,0.4784,Low
66.0,6.3,11.5,6524.0,0.6185,Medium
68.5,8.5,13.0,16069.0,0.7165,High
72.1,4.9,12.0,14515.0,0.6695,Medium
54.6,3.4,8.8,1399.0,0.4231,Low
50.6,6.0,8.9,1763.0,0.4505,Low
79.1,8.3,15.6,39464.0,0.8357,Very High
67.5,4.3,14.3,5848.0,0.6247,Medium
76.2,10.4,17.2,20661.0,0.8306,Very High
71.3,9.5,13.5,22540.0,0.7645,High
62.1,6.1,11.1,2838.0,0.5509,Medium
55.5,7.1,13.4,889.0,0.4791,Low
52.4,3.7,7.9,714.0,0.3701,Low
56.4,1.8,9.1,1166.0,0.4032,Low
65.4,6.3,11.6,4423.0,0.5974,Medium
60.6,4.7,11.6,2345.0,0.5228,Low
66.0,6.2,11.2,6078.0,0.6099,Medium
73.9,11.1,13.3,19984.0,0.7887,High
67.4,8.0,13.1,3245.0,0.623,Medium
71.9,8.7,13.1,60621.0,0.7961,High
66.0,8.0,11.9,3357.0,0.6071,Medium
61.3,5.7,14.4,3630.0,0.5879,Medium
59.0,3.6,11.8,6412.0,0.5536,Medium
58.8,3.9,8.7,2143.0,0.4684,Low
78.2,11.6,17.1,65914.0,0.912,Very High
60.2,6.4,9.4,2538.0,0.5227,Low
72.5,10.2,13.5,5644.0,0.7061,High
56.6,5.5,8.0,3201.0,0.4923,Low
77.0,12.6,17.8,7021.0,0.8009,Very High
55.6,4.2,8.1,1552.0,0.4365,Low
54.1,5.5,7.5,3352.0,0.4774,Low
72.6,10.5,15.0,4322.0,0.7064,High
65.6,8.1,15.5,5596.0,0.6688,Medium
58.9,6.7,8.9,1193.0,0.4729,Low
73.1,7.9,15.2,11618.0,0.7377,High
62.3,3.6,12.1,13529.0,0.6032,Medium
62.8,6.4,11.0,3361.0,0.5662,Medium
54.9,6.2,11.9,2819.0,0.5258,Low
71.0,9.1,15.2,5073.0,0.6961,Medium
63.8,7.2,14.2,6566.0,0.6466,Medium
66.5,8.7,13.9,9709.0,0.6933,Medium
71.0,8.0,10.9,6037.0,0.6515,Medium
63.6,7.2,12.2,5442.0,0.6175,Medium
55.8,3.7,9.0,3178.0,0.4743,Low
79.1,9.6,18.9,15985.0,0.8379,Very High
55.5,4.1,7.0,1131.0,0.4048,Low
46.9,2.8,5.0,653.0,0.3004,Low
77.8,9.9,15.5,6771.0,0.7551,High
61.9,5.4,9.5,2109.0,0.5095,Low
